,Precursor Count,Max Temperature (°C),Total Heating Time (h),Number of Steps,Precursor Diversity (# elements),Band Gap (eV),Formation Energy (eV/atom),Energy Above Hull (eV/atom),Crystal Density (g/cm³)
Precursor Count,1.0,0.046823182062194504,-0.0725825492323324,-0.03333397443648875,0.6861173080776296,0.25060419798404043,-0.10921789419466717,0.011943846536085566,-0.11817660362903172
Max Temperature (°C),0.046823182062194504,1.0,0.06217129697588887,0.12125479335544778,-0.1559260551326385,0.10449245669852882,-0.4247096991443781,0.03813900618615982,0.21988349815957856
Total Heating Time (h),-0.0725825492323324,0.06217129697588887,1.0,0.17859029088465472,-0.0954027342240241,-0.13161960726961988,0.07157365629831192,-0.0009816018324236516,0.14308054456896976
Number of Steps,-0.03333397443648875,0.12125479335544778,0.17859029088465472,1.0,0.03925294790023679,-0.007699015001293111,-0.05541334517356535,-0.0026310918808530423,0.06295415873842633
Precursor Diversity (# elements),0.6861173080776296,-0.1559260551326385,-0.0954027342240241,0.03925294790023679,1.0,0.32116282149273656,-0.18417950054151602,-0.03494273171275024,-0.3497868730804208
Band Gap (eV),0.25060419798404043,0.10449245669852882,-0.13161960726961988,-0.007699015001293111,0.32116282149273656,1.0,-0.5410513816281913,-0.13738029070636326,-0.3886549781111976
Formation Energy (eV/atom),-0.10921789419466717,-0.4247096991443781,0.07157365629831192,-0.05541334517356535,-0.18417950054151602,-0.5410513816281913,1.0,0.10431019593250355,0.06573651038844003
Energy Above Hull (eV/atom),0.011943846536085566,0.03813900618615982,-0.0009816018324236516,-0.0026310918808530423,-0.03494273171275024,-0.13738029070636326,0.10431019593250355,1.0,0.07220728409553384
Crystal Density (g/cm³),-0.11817660362903172,0.21988349815957856,0.14308054456896976,0.06295415873842633,-0.3497868730804208,-0.3886549781111976,0.06573651038844003,0.07220728409553384,1.0
