feature,coefficient,std_error,p_value,ci_lower,ci_upper,significant,feature_label,target
const,2.34108027700831,0.02413966006579634,0.0,2.2937674126803094,2.3883931413363104,True,Intercept,band_gap
precursor_count,0.034207771628014666,0.033492618259319436,0.3070874296206204,-0.03143655390820002,0.09985209716422935,False,Precursor Count,band_gap
max_temperature_C,0.28696700928249735,0.026327390898372986,1.1533196109603672e-27,0.2353662713147787,0.33856774725021604,True,Max Temperature (°C),band_gap
total_time_h,-0.17149700821975242,0.029592961369075976,6.82414788046775e-09,-0.22949814669902646,-0.11349586974047837,True,Total Heating Time (h),band_gap
n_steps,-0.020864313395970068,0.024419830161837134,0.39288315765083814,-0.06872630102175577,0.026997674229815635,False,Number of Steps,band_gap
precursor_diversity,0.5234252849208515,0.03513826586430756,3.4906512323282093e-50,0.4545555493476155,0.5922950204940876,True,Precursor Diversity (# elements),band_gap
const,-2.7405100313226756,0.010771829523138463,0.0,-2.7616224292356324,-2.7193976334097187,True,Intercept,formation_energy_per_atom
precursor_count,0.10892897085658171,0.020772329476648248,1.5717835084947974e-07,0.0682159532073514,0.149641988505812,True,Precursor Count,formation_energy_per_atom
max_temperature_C,-0.3668953052350025,0.01398219231700714,9.251299632524891e-152,-0.39429989860124914,-0.3394907118687559,True,Max Temperature (°C),formation_energy_per_atom
total_time_h,0.0611777261839426,0.013029436156019855,2.6615429925799033e-06,0.03564050057927968,0.08671495178860553,True,Total Heating Time (h),formation_energy_per_atom
n_steps,0.012545192765611527,0.010249967210172658,0.2209804610148729,-0.007544373809043376,0.03263475934026643,False,Number of Steps,formation_energy_per_atom
precursor_diversity,-0.24267367508170737,0.02163836382548205,3.442898404279491e-29,-0.28508408886402653,-0.2002632612993882,True,Precursor Diversity (# elements),formation_energy_per_atom
const,0.00703746547962582,0.0003058984721289283,4.0699505708776705e-117,0.00643791549132729,0.007637015467924349,True,Intercept,energy_above_hull
precursor_count,0.0013492904039668838,0.0004748093854707487,0.004486641245688642,0.00041868110892262066,0.002279899699011147,True,Precursor Count,energy_above_hull
max_temperature_C,0.0008934765849839087,0.00029915153966065253,0.002820042081150759,0.00030715034132932414,0.0014798028286384932,True,Max Temperature (°C),energy_above_hull
total_time_h,0.0002769487386572321,0.00027731331318411515,0.31794714769047727,-0.00026657536761711016,0.0008204728449315744,False,Total Heating Time (h),energy_above_hull
n_steps,0.00022476150168046082,0.00034829500322825576,0.5187202620031396,-0.00045788416064218237,0.000907407164003104,False,Number of Steps,energy_above_hull
precursor_diversity,-0.002307380913774567,0.0004856886253549496,2.026724866259374e-06,-0.003259313127171035,-0.0013554487003780984,True,Precursor Diversity (# elements),energy_above_hull
const,5.031483965847147,0.020778178086083357,0.0,4.990759485134064,5.0722084465602295,True,Intercept,density
precursor_count,0.20435344029900865,0.03178333365542501,1.279582234739591e-10,0.14205925102575584,0.26664762957226146,True,Precursor Count,density
max_temperature_C,0.2048735837127713,0.023278424971463714,1.355937573895783e-18,0.1592487091518846,0.250498458273658,True,Max Temperature (°C),density
total_time_h,0.09879053326194472,0.02247462838143217,1.1044328168113184e-05,0.054741071068415935,0.1428399954554735,True,Total Heating Time (h),density
n_steps,0.05428062022108424,0.022406530926181153,0.015412612929076306,0.010364626587286284,0.09819661385488221,True,Number of Steps,density
precursor_diversity,-0.5986735935790657,0.03148073993144596,1.230166523408982e-80,-0.6603747100513717,-0.5369724771067597,True,Precursor Diversity (# elements),density
